params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate
"{'n_estimators': 500, 'learning_rate': 0.138264413074204}",0.6,0.7777777777777778,0.7,0.7222222222222222,0.7916666666666666,0.7777777777777778,0.6842105263157895,0.85,0.9375,0.6956521739130435,0.7536807144673278,0.09019625290667538,9,0.0697674418604651,0.2441860465116279,0.1627906976744186,0.3023255813953488,0.2183908045977011,0.0804597701149425,0.1494252873563218,0.1954022988505747,0.1724137931034483,0.1839080459770115,0.17790697674418604,0.06641832909093617,9,0.125,0.3716814159292035,0.2641509433962264,0.4262295081967213,0.3423423423423423,0.1458333333333333,0.2452830188679245,0.3177570093457944,0.2912621359223301,0.2909090909090909,0.28204487982429666,0.08876198226230836,9,0.8827849588719154,0.8662175825977647,0.901941628180253,0.899618779548001,0.9023427733517132,0.8573928791042457,0.8725631305452506,0.9320379492793284,0.9215674349773968,0.8843580855075109,0.8920825201963378,0.022637470771243826,9,352.67912125587463,1,500,0.138264413074204
"{'n_estimators': 500, 'learning_rate': 0.07177930590147533}",0.8,0.9,0.6666666666666666,0.8666666666666667,0.8571428571428571,1.0,0.6363636363636364,0.8333333333333334,0.9,0.6666666666666666,0.8126839826839827,0.1138175920367395,6,0.0465116279069767,0.2093023255813953,0.0930232558139534,0.3023255813953488,0.2068965517241379,0.0459770114942528,0.0804597701149425,0.057471264367816,0.1034482758620689,0.0689655172413793,0.12143811815022716,0.0828898611395797,13,0.0879120879120879,0.339622641509434,0.1632653061224489,0.4482758620689654,0.3333333333333332,0.0879120879120879,0.1428571428571428,0.1075268817204301,0.1855670103092783,0.125,0.20212723537452087,0.11958036833339017,13,0.8749487606919355,0.8748941054300003,0.9112227748476484,0.9036496051157326,0.8977106097157184,0.8310696209802213,0.9120429497185564,0.9323859528201802,0.9164690141701636,0.895950319960537,0.8950343713450695,0.027182191817921454,5,352.90705490112305,1,500,0.07177930590147533
"{'n_estimators': 1000, 'learning_rate': 0.22833983728532217}",0.3478260869565217,0.6,0.6,0.6862745098039216,0.7241379310344828,0.5263157894736842,0.6,0.7777777777777778,0.7037037037037037,0.6666666666666666,0.6232702465416758,0.11543975025994573,18,0.0930232558139534,0.2790697674418604,0.2093023255813953,0.4069767441860465,0.2413793103448276,0.1149425287356321,0.2068965517241379,0.2413793103448276,0.2183908045977011,0.2298850574712643,0.2241245656241646,0.08169466322600277,3,0.146788990825688,0.380952380952381,0.3103448275862069,0.510948905109489,0.3620689655172414,0.1886792452830188,0.3076923076923077,0.368421052631579,0.3333333333333333,0.3418803418803418,0.32511103508115874,0.09600951495002456,3,0.876748968381931,0.872250157133878,0.8955879539802695,0.8976716858415543,0.9025387365106394,0.8820977518295526,0.8696236831613587,0.9235473386175812,0.9198003878719077,0.8623730462810921,0.8902239709609765,0.01997954070769232,15,694.841705083847,1,1000,0.22833983728532217
"{'n_estimators': 500, 'learning_rate': 0.04289169296850857}",1.0,0.875,0.8333333333333334,0.896551724137931,1.0,1.0,0.6,0.75,0.875,1.0,0.8829885057471264,0.12462440599004268,1,0.0348837209302325,0.1627906976744186,0.0581395348837209,0.3023255813953488,0.2068965517241379,0.0459770114942528,0.0689655172413793,0.0344827586206896,0.0804597701149425,0.0114942528735632,0.10064153969526861,0.08870327906186229,16,0.0674157303370786,0.2745098039215686,0.108695652173913,0.4521739130434781,0.3428571428571428,0.0879120879120879,0.1237113402061855,0.0659340659340659,0.1473684210526315,0.0227272727272727,0.16933054301654246,0.13289601589450725,16,0.858955264668106,0.8684823600142104,0.9034036564370236,0.901951876041866,0.9005926196219938,0.8035536905268706,0.9097995094163678,0.9281592302026528,0.9170501462966342,0.9140329893842029,0.8905981342609929,0.03533882079445247,13,351.0747981071472,1,500,0.04289169296850857
"{'n_estimators': 500, 'learning_rate': 0.0912813197701099}",0.75,0.8695652173913043,0.6923076923076923,0.8125,0.8260869565217391,1.0,0.7142857142857143,0.875,0.9090909090909092,0.6470588235294118,0.8095895313126771,0.10349778233440167,7,0.0697674418604651,0.2325581395348837,0.1046511627906976,0.3023255813953488,0.2183908045977011,0.057471264367816,0.1149425287356321,0.0804597701149425,0.1149425287356321,0.1264367816091954,0.14219460037423143,0.07680589653605864,10,0.1276595744680851,0.3669724770642201,0.1818181818181818,0.4406779661016948,0.3454545454545454,0.108695652173913,0.198019801980198,0.1473684210526315,0.2040816326530612,0.2115384615384615,0.23322867143049925,0.1061815755787226,10,0.8805543409941792,0.8681407646271144,0.9064028639357254,0.8980918481676823,0.8985316277781157,0.8414928338299985,0.9081405799158035,0.9320683573557138,0.9168170177110152,0.8868177610195489,0.8937057995334896,0.02453179437362834,7,352.1670496463776,1,500,0.0912813197701099
"{'n_estimators': 500, 'learning_rate': 0.19849156064677378}",0.4615384615384615,0.6774193548387096,0.6956521739130435,0.6666666666666666,0.76,0.6153846153846154,0.6086956521739131,0.8095238095238095,0.8571428571428571,0.68,0.6832023591182076,0.10576756961440754,15,0.0697674418604651,0.2441860465116279,0.1860465116279069,0.3023255813953488,0.2183908045977011,0.0919540229885057,0.160919540229885,0.1954022988505747,0.2068965517241379,0.1954022988505747,0.1871291098636728,0.06445993293348407,4,0.1212121212121212,0.358974358974359,0.2935779816513761,0.416,0.3392857142857143,0.16,0.2545454545454545,0.3148148148148148,0.3333333333333332,0.3035714285714286,0.2895315207388601,0.0850865796455199,5,0.8760111223458038,0.8692816932200147,0.9044489383215368,0.8996016997786461,0.9031266259874178,0.868883753302655,0.8680863859663348,0.9306121483643834,0.9165771317750884,0.8835607181711906,0.8920190217233073,0.02093012767989172,10,349.0939633846283,1,500,0.19849156064677378
"{'n_estimators': 500, 'learning_rate': 0.19506201701122303}",0.4615384615384615,0.6774193548387096,0.7272727272727273,0.6666666666666666,0.76,0.6153846153846154,0.6086956521739131,0.8095238095238095,0.9,0.68,0.6906501287398903,0.11395008328110409,14,0.0697674418604651,0.2441860465116279,0.1860465116279069,0.3023255813953488,0.2183908045977011,0.0919540229885057,0.160919540229885,0.1954022988505747,0.2068965517241379,0.1954022988505747,0.1871291098636728,0.06445993293348407,4,0.1212121212121212,0.358974358974359,0.2962962962962963,0.416,0.3392857142857143,0.16,0.2545454545454545,0.3148148148148148,0.3364485981308411,0.3035714285714286,0.290114878683103,0.08526773070728025,4,0.8760384499767715,0.868919602109693,0.9047427103544394,0.899369414915421,0.9031333833377256,0.8680323271638725,0.8696000324352815,0.9303486117023791,0.916090602552927,0.8837634386804246,0.8920038573228937,0.02079214959151935,11,331.6967887878418,1,500,0.19506201701122303
"{'n_estimators': 1000, 'learning_rate': 0.085403243976939}",0.5,0.6774193548387096,0.7272727272727273,0.6842105263157895,0.76,0.7,0.65,0.85,0.9375,0.6666666666666666,0.7153069275093894,0.11192735835413571,12,0.0697674418604651,0.2441860465116279,0.1860465116279069,0.3023255813953488,0.2183908045977011,0.0804597701149425,0.1494252873563218,0.1954022988505747,0.1724137931034483,0.1839080459770115,0.18023255813953487,0.06625527242360663,6,0.1224489795918367,0.358974358974359,0.2962962962962963,0.4193548387096774,0.3392857142857143,0.1443298969072164,0.2429906542056074,0.3177570093457944,0.2912621359223301,0.2882882882882883,0.282098817252712,0.08695547772507635,8,0.8809198480583718,0.8779718798677343,0.9168488508731178,0.9002814745989669,0.9019440896835532,0.864842857818592,0.8845405339658214,0.9307337806699236,0.9196990276172908,0.8842026664504314,0.8961985009603802,0.02012389440596109,1,516.7112157344818,1,1000,0.085403243976939
"{'n_estimators': 1000, 'learning_rate': 0.07543617875829424}",0.6,0.7777777777777778,0.7142857142857143,0.7222222222222222,0.7916666666666666,0.7,0.65,0.85,0.9375,0.6956521739130435,0.7439104554865423,0.09343122704337144,10,0.0697674418604651,0.2441860465116279,0.1744186046511628,0.3023255813953488,0.2183908045977011,0.0804597701149425,0.1494252873563218,0.1954022988505747,0.1724137931034483,0.1839080459770115,0.17906976744186046,0.06624506805581627,8,0.125,0.3716814159292035,0.2803738317757009,0.4262295081967213,0.3423423423423423,0.1443298969072164,0.2429906542056074,0.3177570093457944,0.2912621359223301,0.2909090909090909,0.2832875885534007,0.08890426332987082,7,0.8802981444538572,0.8782246604541852,0.9164833438089252,0.9004727680157407,0.9010926635447708,0.8613188996330758,0.8862197355173089,0.9324839343996432,0.9194490056559022,0.8844797178130511,0.896052287329646,0.020832845236349772,4,510.6200697422028,1,1000,0.07543617875829424
"{'n_estimators': 1000, 'learning_rate': 0.0791469835093633}",0.6,0.7777777777777778,0.7272727272727273,0.7027027027027027,0.76,0.7,0.65,0.85,0.9375,0.6666666666666666,0.7371919874419874,0.0943850680897687,11,0.0697674418604651,0.2441860465116279,0.1860465116279069,0.3023255813953488,0.2183908045977011,0.0804597701149425,0.1494252873563218,0.1954022988505747,0.1724137931034483,0.1839080459770115,0.18023255813953487,0.06625527242360663,6,0.125,0.3716814159292035,0.2962962962962963,0.4227642276422764,0.3392857142857143,0.1443298969072164,0.2429906542056074,0.3177570093457944,0.2912621359223301,0.2882882882882883,0.28396556388227273,0.088222676606265,6,0.8808720247041784,0.8779787117754762,0.9172006941218266,0.9005752466318695,0.9019103029320142,0.8625690094400185,0.8861420259887693,0.9306729645171536,0.9189827484846642,0.8847398757999014,0.8961643604395872,0.020324144977749127,2,306.5782861709595,1,1000,0.0791469835093633
