params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate,param_max_depth,param_min_samples_split,param_min_samples_leaf
"{'n_estimators': 500, 'learning_rate': 0.23143278990752972, 'max_depth': 29, 'min_samples_split': 7, 'min_samples_leaf': 14}",0.7083333333333334,0.6375,0.6923076923076923,0.7105263157894737,0.7368421052631579,0.8732394366197183,0.8,0.8142857142857143,0.8235294117647058,0.726027397260274,0.7522591406624068,0.06870436676650053,15,0.5930232558139535,0.5930232558139535,0.627906976744186,0.627906976744186,0.4827586206896552,0.7126436781609196,0.5517241379310345,0.6551724137931034,0.6436781609195402,0.6091954022988506,0.6097032878909383,0.05874899248596098,13,0.6455696202531647,0.6144578313253013,0.6585365853658537,0.6666666666666666,0.5833333333333334,0.7848101265822784,0.6530612244897959,0.7261146496815287,0.7225806451612904,0.6625,0.6717630682859212,0.05544586494161105,15,0.937884294810483,0.9142185663924792,0.9266765501598668,0.9313359112398548,0.9429983714785758,0.9135092947353484,0.9493773101691364,0.910921229567462,0.9428159230202652,0.9347611614533708,0.9304498613026844,0.012997381160090714,18,817.2606928348541,1,500,0.23143278990752972,29,7,14
"{'n_estimators': 500, 'learning_rate': 0.242330265947049, 'max_depth': 41, 'min_samples_split': 6, 'min_samples_leaf': 21}",0.6973684210526315,0.6538461538461539,0.6708860759493671,0.7272727272727273,0.7258064516129032,0.8285714285714286,0.8166666666666667,0.7916666666666666,0.8307692307692308,0.7142857142857143,0.7457139536693489,0.06272640335257491,18,0.6162790697674418,0.5930232558139535,0.6162790697674418,0.6511627906976745,0.5172413793103449,0.6666666666666666,0.5632183908045977,0.6551724137931034,0.6206896551724138,0.632183908045977,0.6131916599839615,0.043139662649351145,11,0.6543209876543209,0.6219512195121951,0.6424242424242425,0.6871165644171779,0.6040268456375839,0.7388535031847134,0.6666666666666665,0.7169811320754716,0.7105263157894737,0.6707317073170731,0.6713599184678919,0.040674242072885614,16,0.939612767469188,0.9296074385811494,0.9464173475801384,0.9330882955756564,0.944153878381209,0.9072452310000204,0.9524046031070296,0.9213613357930088,0.9510058315933156,0.9401028468716848,0.9364999575952402,0.013368428507462508,13,851.254777431488,1,500,0.242330265947049,41,6,21
"{'n_estimators': 500, 'learning_rate': 0.10799356527030933, 'max_depth': 46, 'min_samples_split': 26, 'min_samples_leaf': 26}",0.6794871794871795,0.6547619047619048,0.6835443037974683,0.7808219178082192,0.8181818181818182,0.855072463768116,0.7833333333333333,0.8028169014084507,0.8548387096774194,0.7402597402597403,0.765311827248365,0.06909408740592167,9,0.6162790697674418,0.6395348837209303,0.627906976744186,0.6627906976744186,0.5172413793103449,0.6781609195402298,0.5402298850574713,0.6551724137931034,0.6091954022988506,0.6551724137931034,0.620168404170008,0.05018463124716339,5,0.6463414634146342,0.6470588235294118,0.6545454545454547,0.7169811320754716,0.6338028169014085,0.7564102564102564,0.6394557823129252,0.7215189873417721,0.7114093959731543,0.6951219512195121,0.6822646063724,0.040911932560989406,7,0.9428852512775668,0.9384650069685458,0.9507214494575464,0.9356092695324244,0.944093062228439,0.9248954300039868,0.957932115658808,0.9344435659889044,0.9539723083784386,0.9504753795941536,0.9433492839088815,0.00966967810830678,5,956.4085631370544,1,500,0.10799356527030933,46,26,26
"{'n_estimators': 1000, 'learning_rate': 0.26748294149545515, 'max_depth': 9, 'min_samples_split': 29, 'min_samples_leaf': 27}",0.6625,0.6265060240963856,0.7297297297297297,0.7215189873417721,0.7627118644067796,0.8695652173913043,0.8,0.8082191780821918,0.873015873015873,0.7023809523809523,0.7556147826444988,0.07846093951450969,13,0.6162790697674418,0.6046511627906976,0.627906976744186,0.6627906976744186,0.5172413793103449,0.6896551724137931,0.5517241379310345,0.6781609195402298,0.632183908045977,0.6781609195402298,0.6258754343758354,0.05365108775525565,1,0.6385542168674699,0.6153846153846154,0.675,0.6909090909090908,0.6164383561643836,0.7692307692307693,0.6530612244897959,0.7374999999999999,0.7333333333333333,0.6900584795321637,0.6819470085911622,0.049978774028499456,8,0.9381644030279016,0.9247192085918072,0.9194176481840788,0.9370576339737108,0.9396737551271396,0.9202396156419144,0.9405150452404604,0.9132660301242675,0.9342678748809016,0.9391500604782852,0.9306471275270468,0.009661934535291688,17,644.5060732364655,1,1000,0.26748294149545515,9,29,27
"{'n_estimators': 500, 'learning_rate': 0.04936070020817007, 'max_depth': 11, 'min_samples_split': 5, 'min_samples_leaf': 6}",0.7534246575342466,0.6756756756756757,0.7647058823529411,0.72,0.8363636363636363,0.8787878787878788,0.85,0.8088235294117647,0.913793103448276,0.7162162162162162,0.7917790579790636,0.07394046753310994,4,0.6395348837209303,0.5813953488372093,0.6046511627906976,0.627906976744186,0.5287356321839081,0.6666666666666666,0.5862068965517241,0.632183908045977,0.6091954022988506,0.6091954022988506,0.6085672280139001,0.03590796267542203,14,0.6918238993710691,0.6250000000000001,0.6753246753246753,0.6708074534161491,0.6478873239436619,0.7581699346405228,0.6938775510204082,0.7096774193548387,0.7310344827586207,0.6583850931677019,0.6861987832997648,0.03764802510195919,2,0.9502466318694832,0.9441764818407892,0.9356946683791982,0.949010056568196,0.9553170210896904,0.9295985458182138,0.9471372485421016,0.9456202233980012,0.9534992938568928,0.948728604539588,0.9459028775902153,0.007466337189732943,3,388.9369351863861,1,500,0.04936070020817007,11,5,6
"{'n_estimators': 500, 'learning_rate': 0.22224368065642816, 'max_depth': 41, 'min_samples_split': 5, 'min_samples_leaf': 3}",0.726027397260274,0.684931506849315,0.7125,0.8088235294117647,0.746031746031746,0.9,0.847457627118644,0.8059701492537313,0.9433962264150944,0.7368421052631579,0.7911980287603727,0.08088504229720823,5,0.6162790697674418,0.5813953488372093,0.6627906976744186,0.6395348837209303,0.5402298850574713,0.6206896551724138,0.5747126436781609,0.6206896551724138,0.5747126436781609,0.6436781609195402,0.6074712643678162,0.036295860388576726,15,0.6666666666666667,0.6289308176100629,0.6867469879518072,0.7142857142857143,0.6266666666666666,0.7346938775510204,0.684931506849315,0.7012987012987013,0.7142857142857142,0.6871165644171778,0.6845623217582847,0.03367298358626513,4,0.9224373514060066,0.9060749323641132,0.9366169759243572,0.9371054573279044,0.9249359741058336,0.8569637873597005,0.9198814760756012,0.9251792387169144,0.937720880888186,0.932916404819342,0.9199832478987957,0.022965616870450522,19,979.7235355377196,1,500,0.22224368065642816,41,5,3
"{'n_estimators': 500, 'learning_rate': 0.24150348620452847, 'max_depth': 25, 'min_samples_split': 24, 'min_samples_leaf': 16}",0.6933333333333334,0.6341463414634146,0.7051282051282052,0.7051282051282052,0.7457627118644068,0.863013698630137,0.8225806451612904,0.7534246575342466,0.8484848484848485,0.7272727272727273,0.7498275374000816,0.06996096279407457,17,0.6046511627906976,0.6046511627906976,0.6395348837209303,0.6395348837209303,0.5057471264367817,0.7241379310344828,0.5862068965517241,0.632183908045977,0.6436781609195402,0.6436781609195402,0.6224004276931302,0.052427985182375486,3,0.6459627329192547,0.6190476190476191,0.6707317073170733,0.6707317073170733,0.6027397260273973,0.7875,0.6845637583892618,0.6875000000000001,0.7320261437908496,0.6829268292682927,0.6783730224076822,0.05033569709859294,11,0.9334982100401716,0.917579865001503,0.9358996256114558,0.9313700707785642,0.9433497536945812,0.9074479515092542,0.9446471649536784,0.9165974038260116,0.9516477798725564,0.9432652868157338,0.932530311210351,0.013655508789056293,16,712.8683943748474,1,500,0.24150348620452847,25,24,16
"{'n_estimators': 100, 'learning_rate': 0.001568753300080755, 'max_depth': 31, 'min_samples_split': 20, 'min_samples_leaf': 20}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.9171733664908588,0.88547331456836,0.9111032164621649,0.9102765556253928,0.9193273733503616,0.899984458094292,0.9130700669653417,0.9139316291295858,0.9206180272591512,0.9288957813862028,0.9119853789331712,0.011388058696309454,20,124.25111627578735,1,100,0.001568753300080755,31,20,20
"{'n_estimators': 500, 'learning_rate': 0.0035709500203794397, 'max_depth': 12, 'min_samples_split': 26, 'min_samples_leaf': 21}",0.6571428571428571,0.675,0.8205128205128205,0.7368421052631579,0.8571428571428571,0.775,0.813953488372093,0.9428571428571428,0.945945945945946,0.8571428571428571,0.8081540074379732,0.09425320941554899,2,0.2674418604651162,0.313953488372093,0.3720930232558139,0.3255813953488372,0.2758620689655172,0.3563218390804598,0.4022988505747126,0.3793103448275862,0.4022988505747126,0.3448275862068966,0.34399893076717447,0.04553243591439683,19,0.3801652892561983,0.4285714285714285,0.512,0.4516129032258064,0.417391304347826,0.4881889763779527,0.5384615384615385,0.5409836065573771,0.5645161290322581,0.4918032786885247,0.48136944545189103,0.05729650442314002,19,0.9327535320963024,0.92024089306698,0.9203809471756894,0.9271377039324462,0.9527593639981892,0.9013595788819287,0.940521802590768,0.9429476913512672,0.9618446214870224,0.9559319399676998,0.9355878074548294,0.017873063369992438,15,404.3634264469147,1,500,0.0035709500203794397,12,26,21
"{'n_estimators': 100, 'learning_rate': 0.3, 'max_depth': 17, 'min_samples_split': 22, 'min_samples_leaf': 30}",0.726027397260274,0.6811594202898551,0.6944444444444444,0.6875,0.8490566037735849,0.8695652173913043,0.8448275862068966,0.7971014492753623,0.913793103448276,0.76,0.7823475222089997,0.08005611110170482,7,0.6162790697674418,0.5465116279069767,0.5813953488372093,0.6395348837209303,0.5172413793103449,0.6896551724137931,0.5632183908045977,0.632183908045977,0.6091954022988506,0.6551724137931034,0.6050387596899225,0.05018520077030201,16,0.6666666666666667,0.6064516129032258,0.6329113924050633,0.6626506024096386,0.642857142857143,0.7692307692307693,0.6758620689655171,0.7051282051282052,0.7310344827586207,0.7037037037037037,0.6796496647028555,0.046109553691466736,10,0.9526070559943158,0.936456426092422,0.9426871259530512,0.9471415298007816,0.9622433051551824,0.9400048652922216,0.9504821369444614,0.9382952556643488,0.9549791535743004,0.9451168008000704,0.9470013655271154,0.007730642706286213,2,112.88432693481444,1,100,0.3,17,22,30
